1,Ted Cruz,
2,James Franco,
3,Ted Cruz,
4,Lorne Michaels,
5,Ben Stiller,
6,Mark Cuban,
7,Michael Buble,
8,Adam Levine,
9,Ted Cruz,
10,Nicki Minaj,
11,Ted Cruz,
12,Donald Trump Jr,
13,Ben Stiller,
14,Ted Cruz,
15,Ted Cruz,
16,Ted Cruz,
17,Ted Cruz,
18,Adam Sandler,
19,Bryan Adams,
20,Ted Cruz,
21,Ted Cruz,
22,Jeffrey Epstein,
23,Ted Cruz,
24,Adam Levine,
25,Rick Springfield,
27,Gene Simmons,
28,Eissa Al Mana,
29,Scott Baio,
30,Ted Cruz,
31,Ted Cruz,
32,Michael Jackson,
33,Ted Cruz,
34,Michael Steven Buble,
35,Ted Bundy,
36,Ted Cruz,
37,Drake,
38,Adam Sandler,
39,Mark Cuban,
40,Ted Bundy,
41,Ted Cruz,
42,Ted Cruz,
43,Ted Cruz,
44,Seth MacFarlane,
45,Ted Cruz,
46,Ted Cruz,
47,Ted Cruz,
48,Ted Cruz,
49,Ted Kaczynski,
50,Ted Cruz,
51,Adam Lambert,
52,Adam Sandler,
53,Jeff Bezos,
54,Ben Stiller,
55,Ted Cruz,
56,Ted Cruz,
57,Jamie Lee Curtis,
58,Ted Cruz,
59,Ted Cruz,
60,Adam Lambert,
61,Ted Cruz,
62,Sammy Hagar,
63,Bruno Mars,
64,Adam Sandler,
65,Ted Cruz,
66,Adam Sandler,
67,Bryan Cranston,
68,Adam Sandler,
69,Ted Cruz,
70,Ben Stiller,
71,Michael Phelps,
72,Adam Sandler,
73,Ted Cruz,
74,Ted Cruz,
75,Ted Cruz,
76,Nicki Minaj,
77,Eissa Al Mana,
78,Ted Cruz,
79,Ted Cruz,
80,Ted Cruz,
81,Zac Efron,
82,Ted Cruz,
83,Ted Cruz,
84,Ted Cruz,
85,None,
86,Jeff Bezos,
87,Drake,
88,Ted Cruz,
89,Adam Sandler,
90,Ted Cruz,
91,Jeffrey Dahmer,
92,Ted Cruz,
93,Adam Sandler,
94,Ted Cruz,
95,Ted Cruz,
96,Matthew Perry,
97,Ted Cruz,
98,Adam Levine,
99,Dwayne Johnson,
100,Jamie Lee Curtis,
